Designator,Mid X,Mid Y,Layer,Rotation
C1,202.2,-87.8,bottom,-90
C2,177.4,-75.4,bottom,180
C3,179,-83,bottom,-90
C4,198.8,-71.6,bottom,90
C5,205.2,-77.9,bottom,-90
C6,179.4,-75.8,bottom,180
C7,191,-78,bottom,0
C8,190.6,-75,bottom,0
C10,190.2,-74,bottom,0
C14,164.6,-78.4,bottom,0
C15,192.7,-74.5,bottom,0
C16,189,-85.4,bottom,0
D1,206.2,-84.6,bottom,0
J3,162.2,-71.9,bottom,180
J4,206.8,-79.2,bottom,0
J5,162.6,-88.2,bottom,0
M1,166,-84.1,bottom,0
R1,203.6,-70.5,bottom,180
R2,201.6,-80.1,bottom,180
R3,191,-77,bottom,180
R4,190.6,-76,bottom,180
R5,179.9,-78.115,bottom,-90
R6,208.8,-75.1,bottom,90
R8,163.4,-82.3,bottom,90
R9,161.9,-82.1,bottom,90
R10,161.4,-87.4,bottom,-90
R11,165.8,-87.2,bottom,90
R15,165.8,-70.1,bottom,0
SW1,178.4,-87.8,bottom,180
SW2,185,-87.8,bottom,180
SW3,198.2,-87.8,bottom,180
SW4,191.6,-87.8,bottom,180
TR1,162.4,-84.7,bottom,0
U1,199.6,-75.9,bottom,180
U2,194.6,-82.2,bottom,180
U3,185,-76.8,bottom,90
Y1,177.15,-79,bottom,-90
J1,207.35,-85.65,top,90
J2,173.05,-88.4,top,180
R7,203.7,-77.3,top,90
U9,179.6,-74.8,top,0
U10,179.6,-84,top,0
XS1,194.4,-81.2,top,0
