Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0805_2012Metric",202.200000,-87.800000,-90.000000,bottom
"C2","27p","C_0402_1005Metric",177.400000,-75.400000,180.000000,bottom
"C3","27p","C_0402_1005Metric",179.000000,-83.000000,-90.000000,bottom
"C4","10u","C_0402_1005Metric",198.800000,-71.600000,90.000000,bottom
"C5","100n","C_0402_1005Metric",205.200000,-77.900000,-90.000000,bottom
"C6","100n","C_0402_1005Metric",179.400000,-75.800000,180.000000,bottom
"C7","100n","C_0402_1005Metric",191.000000,-78.000000,0.000000,bottom
"C8","1u","C_0402_1005Metric",190.600000,-75.000000,0.000000,bottom
"C10","1u","C_0402_1005Metric",190.200000,-74.000000,0.000000,bottom
"C14","100n","C_0402_1005Metric",164.600000,-78.400000,0.000000,bottom
"C15","100n","C_0402_1005Metric",192.700000,-74.500000,0.000000,bottom
"C16","100n","C_0402_1005Metric",189.000000,-85.400000,0.000000,bottom
"D1","PMEG3010ER","D_SOD-123",206.200000,-84.600000,0.000000,bottom
"J3","Conn_01x03_Female","PinHeader_1x03_P1.00mm_Vertical_SMD_Pin1Left",162.200000,-71.900000,180.000000,bottom
"J4","Conn_01x04_Female","OLED_SMALL",206.800000,-79.200000,0.000000,bottom
"J5","Conn_01x02_Female","PinHeader_1x02_P1.00mm_Vertical_SMD_Pin1Left",162.600000,-88.200000,0.000000,bottom
"M1","Si2301 P chan","SOT-23",166.000000,-84.100000,0.000000,bottom
"R1","R_Small","C_0402_1005Metric",203.600000,-70.500000,180.000000,bottom
"R2","DNF","C_0402_1005Metric",201.600000,-80.100000,180.000000,bottom
"R3","27","C_0402_1005Metric",191.000000,-77.000000,180.000000,bottom
"R4","27","C_0402_1005Metric",190.600000,-76.000000,180.000000,bottom
"R5","1k","C_0402_1005Metric",179.900000,-78.115000,-90.000000,bottom
"R6","R_Small","C_0402_1005Metric",208.800000,-75.100000,90.000000,bottom
"R8","R_Small","C_0402_1005Metric",163.400000,-82.300000,90.000000,bottom
"R9","R_Small","C_0402_1005Metric",161.900000,-82.100000,90.000000,bottom
"R10","10k","C_0402_1005Metric",161.400000,-87.400000,-90.000000,bottom
"R11","100k","C_0402_1005Metric",165.800000,-87.200000,90.000000,bottom
"R15","R_Small","C_0402_1005Metric",165.800000,-70.100000,0.000000,bottom
"SW1","sw","SW_Push_1P1T_NO_Vertical_Wuerth_434133025816",178.400000,-87.800000,180.000000,bottom
"SW2","sw","SW_Push_1P1T_NO_Vertical_Wuerth_434133025816",185.000000,-87.800000,180.000000,bottom
"SW3","sw","SW_Push_1P1T_NO_Vertical_Wuerth_434133025816",198.200000,-87.800000,180.000000,bottom
"SW4","sw","SW_Push_1P1T_NO_Vertical_Wuerth_434133025816",191.600000,-87.800000,180.000000,bottom
"TR1","Si2302CDS-n-channel","SOT-23",162.400000,-84.700000,0.000000,bottom
"U1","NCP1117-3.3_SOT223","SOT-223-3_TabPin2",199.600000,-75.900000,180.000000,bottom
"U2","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",194.600000,-82.200000,180.000000,bottom
"U3","RP2040","RP2040-QFN-56-no_holes",185.000000,-76.800000,90.000000,bottom
"Y1","ABLS-12.000MHZ-B4-T","Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering",177.150000,-79.000000,-90.000000,bottom
